[火]
Scalding Shroom Strike      炽热蘑菇                [暴怒贯穿]
Blazing Ghost Strike		猩红幽灵				[卷刃抗性]
Steel Golem Strike			钢铁魔像				[卷刃抗性]
Void Agni Strike			阿格尼·虚空之影		    真火对策

[水]		
Frost Hermit Strike			冰霜隐士				[防御贯穿][天启贯穿][卷刃抗性][激流抗性]
Greedy Manticore Strike		蝎狮·忌妒
Void Poseidon Strike		波塞冬·虚空之影         真水对策

[风]
Gust Shroom Strike			呼啸蘑菇                [幻影特效]
Catoblepas Anemos Strike	卡托布莱帕斯·疾风       [无力抗性]
Void Zephyr Strike			瓦基扬·虚空之影         真风对策

[光]
Wandering Shroom Strike		游荡蘑菇				[龙槽抗性][卷刃抗性][幻影特效]
Lambent Ghost Strike        柑橘幽灵                [石化抗性]
Amber Golem Strike			琥珀魔像				[暴怒贯穿]
Void Jeanne d'Arc Strike	贞德·虚空之影           真光对策

[暗]		
Violet Ghost Strike			紫鸢幽灵				[防御贯穿]
Obsidian Golem Strike		黑曜石魔像              [暴怒贯穿][灼热抗性][龙槽抗性]
Twilight Hermit Strike		薄暮隐士				[石化抗性]
Raging Manticore Strike		蝎狮·暴怒
Void Nidhogg Strike			尼德霍格·虚空之影       真暗对策



